Reaction SMILES,Reaction_Subclass
Fc1ccc(Br)c(Cl)c1.C#Cc1ccc(C#C)cc1>C#Cc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2Y
BrCC1CCOCC1.C#CC(=O)OCC>CCOC(=O)c1cn(CC2CCOCC2)nn1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1cccc([N+](=O)[O-])c1>NC(=O)c1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1,2Y
BrCCc1c[nH]c2ccccc12.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(CCc3c[nH]c4ccccc34)nn2)cc1,3Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3ccc4nc(Cl)ccc4c3)nn2)cc1,2N
Nc1cc(Br)ncn1.C#CCOc1ccccc1>Nc1cc(-n2cc(COc3ccccc3)nn2)ncn1,2Y
BrC1CCCC1.C#Cc1cccs1>c1csc(-c2cn(C3CCCC3)nn2)c1,3N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1ccc(N)cc1>Nc1ccc(-c2cn(CCCCCN3C(=O)c4ccccc4C3=O)nn2)cc1,3Y
CCOC(=O)CCBr.C#CCc1ccccc1>CCOC(=O)CCn1cc(Cc2ccccc2)nn1,3N
COC(=O)c1cccc(Br)n1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2cccc(C(=O)OC)n2)nn1,2N
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#CCN>CCOC(=O)c1sc(NC(=O)Cn2cc(CN)nn2)nc1C,3N
Cc1ccc(CBr)cc1.C#CCc1ccccc1>Cc1ccc(Cn2cc(Cc3ccccc3)nn2)cc1,3Y
Fc1ccc(Br)c(Cl)c1.C#Cc1ccccc1>Fc1ccc(-n2cc(-c3ccccc3)nn2)c(Cl)c1,2Y
BrCCc1c[nH]c2ccccc12.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(CCc3c[nH]c4ccccc34)nn2)cc1,3Y
Nc1cc(Br)ncn1.C#Cc1cccnc1>Nc1cc(-n2cc(-c3cccnc3)nn2)ncn1,2N
O=C1Cc2ccc(Br)cc2N1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3ccc4c(c3)NC(=O)C4)nn2)cc1,2Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
COc1ccc(Br)c(OC)c1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc(OC)cc2OC)nn1,2Y
Nc1cc(Br)ncn1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3cc(N)ncn3)nn2)cc1,2N
Brc1ccc2cccnc2c1.C#CCc1ccccc1>c1ccc(Cc2cn(-c3ccc4cccnc4c3)nn2)cc1,2Y
CC(C)CBr.C#Cc1ccsc1>CC(C)Cn1cc(-c2ccsc2)nn1,3N
NC(=O)c1ccc(Br)cc1.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc(C(N)=O)cc2)nn1,2N
COC(=O)c1cccc(Br)n1.C#Cc1ccc(OC)cc1>COC(=O)c1cccc(-n2cc(-c3ccc(OC)cc3)nn2)n1,2N
O=c1[nH]cc(Br)c(=O)[nH]1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3c[nH]c(=O)[nH]c3=O)nn2)cc1,2N
OCCCBr.C#Cc1cccs1>OCCCn1cc(-c2cccs2)nn1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2N
Brc1ccc2cccnc2c1.C#CC(C)(O)CC(C)C>CC(C)CC(C)(O)c1cn(-c2ccc3cccnc3c2)nn1,2Y
BrCC1CCCCC1.C#Cc1ccsc1>c1cc(-c2cn(CC3CCCCC3)nn2)cs1,3Y
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccc(C#N)cc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(C#N)cc3)nn2)nc1C,3Y
Cc1ccnc(Br)c1.C#CC(=C)C>C=C(C)c1cn(-c2cc(C)ccn2)nn1,2Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#CCc1ccccc1>O=c1[nH]cc(-n2cc(Cc3ccccc3)nn2)c(=O)[nH]1,2Y
Nc1nc(N)c2ccc(Br)cc2n1.C#CCCCC(=O)O>Nc1nc(N)c2ccc(-n3cc(CCCC(=O)O)nn3)cc2n1,2N
Cc1ccnc(Br)c1.C#CC(C)(C)O>Cc1ccnc(-n2cc(C(C)(C)O)nn2)c1,2N
CCOC(CBr)COC.C#Cc1ccncc1>CCOC(COC)Cn1cc(-c2ccncc2)nn1,3N
